operation,u_id,userClickCount
target_clicked,A0001,42
target_clicked,A0005,63
target_clicked,A0008,66
target_clicked,A0009,56
target_clicked,A0010,142
target_clicked,A0011,82
target_clicked,A0014,3
target_clicked,A0015,1
target_clicked,A0018,8
target_clicked,A0019,57
target_clicked,A0020,37
target_clicked,A0021,21
target_clicked,A0022,14
target_clicked,A0024,35
target_clicked,A0025,56
target_clicked,A0026,27
target_clicked,A0029,58
target_clicked,A0030,2
target_clicked,A0033,13
target_clicked,A0034,6
target_clicked,A0037,1
target_clicked,A0039,61
target_clicked,A0040,8
target_clicked,A0041,96
target_clicked,A0042,47
target_clicked,A0043,31
target_clicked,A0044,26
target_clicked,A0046,172
target_clicked,A0047,204
target_clicked,A0048,16
target_clicked,A0049,29
target_clicked,A0050,48
target_clicked,A0052,27
target_clicked,A0054,42
target_clicked,A0056,22
target_clicked,A0057,19
target_clicked,A0059,15
target_clicked,A0061,42
target_clicked,A0064,21
target_clicked,A0065,17
target_clicked,A0066,340
target_clicked,A0067,21
target_clicked,A0069,15
target_clicked,A0071,24
target_clicked,A0073,18
target_clicked,A0074,314
target_clicked,A0075,3
target_clicked,A0077,16
target_clicked,A0080,176
target_clicked,A0081,6
target_clicked,A0082,31
target_clicked,A0084,297
target_clicked,A0087,22
target_clicked,A0088,21
target_clicked,B0005,35
target_clicked,B0007,64
target_clicked,B0012,40
target_clicked,B0013,13
target_clicked,B0018,15
target_clicked,B0020,153
target_clicked,B0021,1
target_clicked,B0024,6
target_clicked,B0025,28
target_clicked,B0026,29
target_clicked,B0027,46
select,A0001,8
select,A0005,12
select,A0008,15
select,A0009,21
select,A0010,45
select,A0011,8
select,A0014,2
select,A0018,1
select,A0020,8
select,A0021,1
select,A0022,1
select,A0024,4
select,A0025,18
select,A0026,7
select,A0029,3
select,A0033,8
select,A0039,5
select,A0041,23
select,A0042,15
select,A0043,12
select,A0044,3
select,A0046,29
select,A0047,109
select,A0048,3
select,A0049,5
select,A0050,2
select,A0052,9
select,A0054,7
select,A0057,8
select,A0059,7
select,A0061,9
select,A0064,5
select,A0065,1
select,A0066,22
select,A0067,2
select,A0071,3
select,A0073,2
select,A0074,91
select,A0075,1
select,A0077,4
select,A0080,18
select,A0082,4
select,A0084,170
select,A0087,10
select,A0088,7
select,B0005,6
select,B0007,8
select,B0012,8
select,B0018,1
select,B0020,13
select,B0024,4
select,B0025,1
select,B0027,26
scroll_up,A0001,408
scroll_up,A0005,1093
scroll_up,A0008,1653
scroll_up,A0009,6345
scroll_up,A0010,4800
scroll_up,A0011,2076
scroll_up,A0015,135
scroll_up,A0018,132
scroll_up,A0019,457
scroll_up,A0020,2451
scroll_up,A0021,844
scroll_up,A0022,156
scroll_up,A0024,410
scroll_up,A0025,6699
scroll_up,A0029,1756
scroll_up,A0030,140
scroll_up,A0033,1084
scroll_up,A0034,259
scroll_up,A0039,4343
scroll_up,A0040,43
scroll_up,A0041,1303
scroll_up,A0042,1313
scroll_up,A0043,168
scroll_up,A0044,1070
scroll_up,A0046,14815
scroll_up,A0047,647
scroll_up,A0048,5972
scroll_up,A0049,2026
scroll_up,A0050,2313
scroll_up,A0052,2553
scroll_up,A0054,950
scroll_up,A0056,1384
scroll_up,A0057,1557
scroll_up,A0059,2830
scroll_up,A0061,2955
scroll_up,A0064,1460
scroll_up,A0065,527
scroll_up,A0066,3055
scroll_up,A0067,1879
scroll_up,A0073,866
scroll_up,A0074,6970
scroll_up,A0075,444
scroll_up,A0077,8804
scroll_up,A0080,11
scroll_up,A0081,681
scroll_up,A0082,1527
scroll_up,A0084,732
scroll_up,A0087,50
scroll_up,A0088,2004
scroll_up,B0005,3777
scroll_up,B0007,146
scroll_up,B0009,172
scroll_up,B0012,103
scroll_up,B0013,21
scroll_up,B0018,251
scroll_up,B0020,3885
scroll_up,B0021,1523
scroll_up,B0024,237
scroll_up,B0025,338
scroll_up,B0026,470
scroll_up,B0027,2500
scroll_down,A0001,439
scroll_down,A0005,4825
scroll_down,A0008,2393
scroll_down,A0009,26421
scroll_down,A0010,11619
scroll_down,A0011,1943
scroll_down,A0015,171
scroll_down,A0018,327
scroll_down,A0019,1079
scroll_down,A0020,13044
scroll_down,A0021,3765
scroll_down,A0022,296
scroll_down,A0024,1616
scroll_down,A0025,21905
scroll_down,A0029,5432
scroll_down,A0030,393
scroll_down,A0033,3436
scroll_down,A0034,493
scroll_down,A0039,10951
scroll_down,A0040,79
scroll_down,A0041,4723
scroll_down,A0042,4138
scroll_down,A0043,563
scroll_down,A0044,3527
scroll_down,A0046,125603
scroll_down,A0047,1708
scroll_down,A0048,34341
scroll_down,A0049,5473
scroll_down,A0050,10627
scroll_down,A0052,4170
scroll_down,A0054,2282
scroll_down,A0056,2737
scroll_down,A0057,8857
scroll_down,A0059,6208
scroll_down,A0061,7612
scroll_down,A0064,7049
scroll_down,A0065,1296
scroll_down,A0066,5254
scroll_down,A0067,5570
scroll_down,A0073,5208
scroll_down,A0074,12210
scroll_down,A0075,1859
scroll_down,A0077,16481
scroll_down,A0080,150
scroll_down,A0081,4334
scroll_down,A0082,8409
scroll_down,A0084,1119
scroll_down,A0087,77
scroll_down,A0088,5633
scroll_down,B0005,11421
scroll_down,B0007,705
scroll_down,B0009,521
scroll_down,B0012,341
scroll_down,B0013,54
scroll_down,B0018,1264
scroll_down,B0020,5043
scroll_down,B0021,3327
scroll_down,B0024,458
scroll_down,B0025,442
scroll_down,B0026,913
scroll_down,B0027,10733