operation,u_id,userSelectCount
select,A0001,8
select,A0005,12
select,A0008,15
select,A0009,21
select,A0010,45
select,A0011,8
select,A0014,2
select,A0018,1
select,A0020,8
select,A0021,1
select,A0022,1
select,A0024,4
select,A0025,18
select,A0026,7
select,A0029,3
select,A0033,8
select,A0039,5
select,A0041,23
select,A0042,15
select,A0043,12
select,A0044,3
select,A0046,29
select,A0047,109
select,A0048,3
select,A0049,5
select,A0050,2
select,A0052,9
select,A0054,7
select,A0057,8
select,A0059,7
select,A0061,9
select,A0064,5
select,A0065,1
select,A0066,22
select,A0067,2
select,A0071,3
select,A0073,2
select,A0074,91
select,A0075,1
select,A0077,4
select,A0080,18
select,A0082,4
select,A0084,170
select,A0087,10
select,A0088,7
select,B0005,6
select,B0007,8
select,B0012,8
select,B0018,1
select,B0020,13
select,B0024,4
select,B0025,1
select,B0027,26